,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
10,0.4981574,0.4981574,0.49815792,0.4981574,0.49844235,0.498163,0.4981574,0.49817994,0.4981574,0.4981574,0.5043399,0.4981574,0.49815756,0.49834272,0.5060562,0.49855378,0.49841285,0.4981574,0.4981574,0.49870855,0.4981574,0.49816313,0.4981574,0.4981574,0.4981574,0.5004682,0.49821013,0.4981574,0.4981574,0.49831668,0.4981574,0.4981584,0.4981574,0.4981574,0.49825412,0.4981574,0.4997535,0.49829057,0.4981574,0.4981574,0.49880695,0.49825177,0.4981675,0.4981615,0.50808275
11,0.4944417,0.4942389,0.5076997,0.4942389,0.4942602,0.4942389,0.4942389,0.4942389,0.4942389,0.4945328,0.494505,0.4942389,0.4942389,0.49462742,0.501687,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.4942389,0.49474734,0.65573245,0.4942389,0.49427843,0.4942389,0.4942389,0.49615458,0.4942427,0.4942389,0.4942389,0.49452677,0.4943685,0.4942389,0.4942389,0.49443537,0.4942389,0.4942389,0.4942389,0.4942389,0.51473814
12,0.49261576,0.49686056,0.49261576,0.51285577,0.49261576,0.49487954,0.4926305,0.49261576,0.49261576,0.49750668,0.49261576,0.49261576,0.4926218,0.49261576,0.5089471,0.49265245,0.49411163,0.49261576,0.49420035,0.49261576,0.5739282,0.49261576,0.49261576,0.49261576,0.49266952,0.4929882,0.57968116,0.49261576,0.4926308,0.49287292,0.49261576,0.49261576,0.49261576,0.49261576,0.49368322,0.49261576,0.4934175,0.49261576,0.49261576,0.4927382,0.54234046,0.49268937,0.49263278,0.4926276,0.50081056
13,0.49867693,0.49867257,0.4990215,0.49867257,0.49867257,0.49867257,0.49867257,0.4987751,0.49867257,0.49869418,0.49903437,0.49867257,0.49867257,0.4987202,0.4989274,0.49929574,0.49867257,0.49867257,0.49867257,0.49867257,0.49867257,0.49867257,0.49867257,0.49867257,0.49867257,0.49869847,0.5026231,0.49954543,0.4986734,0.49882528,0.49873284,0.49872306,0.49867257,0.49867257,0.4986845,0.498712,0.4986784,0.4987455,0.49867257,0.49867997,0.49867257,0.49867257,0.49867257,0.49867257,0.49929833
14,0.49880892,0.49880928,0.49880892,0.49882978,0.49880892,0.4988123,0.49880904,0.49880904,0.49880892,0.49880984,0.49880892,0.49880892,0.49881303,0.49885163,0.49880892,0.49880892,0.49880934,0.4988143,0.49880892,0.49880892,0.49880892,0.49880892,0.49880892,0.49880892,0.49880892,0.49951503,0.49880892,0.49882838,0.49880964,0.49881443,0.49880892,0.49880892,0.49885517,0.49882665,0.49880892,0.4988114,0.49880892,0.49880892,0.49880934,0.49881586,0.49880892,0.49943244,0.49880892,0.49880892,0.49880892
15,0.49881428,0.4988137,0.49881366,0.49882048,0.49881366,0.49881366,0.49881366,0.49881366,0.49885303,0.4988144,0.49881366,0.49909487,0.49881366,0.49882096,0.49881366,0.49881366,0.49881488,0.49881458,0.49881676,0.49881366,0.4989585,0.49881366,0.49881402,0.49956176,0.49881634,0.49881366,0.49881366,0.49881366,0.49881402,0.49881366,0.49881366,0.49881366,0.49881366,0.4988594,0.4988143,0.49881503,0.49881366,0.49881366,0.49881592,0.49881896,0.49881366,0.49881366,0.4988145,0.49881366,0.49881366
16,0.4978806,0.49755174,0.49755174,0.49798375,0.499369,0.49755174,0.4979854,0.49755174,0.49755174,0.49831054,0.49755174,0.5012274,0.49755174,0.49755174,0.49775413,0.49755174,0.49795014,0.49755174,0.50869066,0.49755174,0.49755174,0.49755174,0.4977073,0.5014657,0.49794355,0.49770975,0.49755174,0.49755174,0.4977405,0.49755174,0.51031536,0.49755174,0.49755174,0.51757044,0.49755174,0.4984876,0.49755174,0.49755174,0.49791643,0.49755174,0.49755174,0.49755174,0.49755174,0.49755174,0.49755174
17,0.49874336,0.49874622,0.4987463,0.49874336,0.49879676,0.49874735,0.49874336,0.49874336,0.49874777,0.49874336,0.49874336,0.49874336,0.49874377,0.5002207,0.4987735,0.49874336,0.49874336,0.49874336,0.49874336,0.49874336,0.49874336,0.49874708,0.49874336,0.49875456,0.4987741,0.49874336,0.49876982,0.49874336,0.49874336,0.49874392,0.49874336,0.4987448,0.49874336,0.49874336,0.49874336,0.49874336,0.4987568,0.49874336,0.49874336,0.50093,0.49874336,0.49874336,0.49874875,0.49874344,0.49934155
18,0.4973258,0.4973258,0.4973258,0.49744308,0.52308255,0.49732834,0.4973258,0.49732637,0.4974595,0.49733037,0.49796152,0.4973258,0.4973258,0.5058071,0.498036,0.4973258,0.49739724,0.4973258,0.49732944,0.4973258,0.4973258,0.4976239,0.4973258,0.49760348,0.49853522,0.49799234,0.4973258,0.4973258,0.4973493,0.4973258,0.49774688,0.4973258,0.4973258,0.5007005,0.4973258,0.4973258,0.49762416,0.49748418,0.4973258,0.5152851,0.4973258,0.4973258,0.4973258,0.4973258,0.50496536
19,0.49694613,0.49694613,0.49694613,0.49694613,0.49716613,0.497007,0.49694982,0.4988193,0.49694613,0.49702933,0.51471204,0.49694613,0.49694613,0.49694613,0.5122236,0.50307465,0.49752828,0.49694613,0.49694613,0.49694613,0.49694613,0.49694657,0.49707612,0.49694613,0.49694613,0.5014239,0.49921024,0.50425166,0.49694613,0.49921387,0.49864075,0.49694613,0.49694613,0.49694613,0.49758837,0.49694613,0.49999535,0.49826717,0.49694613,0.49694613,0.49706092,0.4969606,0.49695602,0.49695286,0.51697904
